id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,general_information,partnerships,overall score,,,,,,,,,
881.00,Education,Schools,Changlang,Changlang,Ngaichang,27.12,95.73,16.67,85.00,67.86,7.20,45.00,23.50,0.00,0.00,24.00,14.29,71.43,34.55,0.00,60.00,8.00,15.08,0.00,48.00,75.00,41.07,,,,,,,,,
902.00,Education,Schools,West Kameng,Singchung,Singchung,27.20,92.47,56.00,80.00,86.61,56.36,45.00,56.88,0.00,0.00,18.00,28.57,42.86,34.55,0.00,60.00,57.10,27.03,0.00,50.00,75.00,52.80,,,,,,,,,
919.00,Education,Schools,Tirap,Khonsa,Kheti,26.97,95.51,45.00,85.00,79.32,33.60,30.00,61.75,50.00,68.18,12.00,42.86,0.00,10.00,100.00,60.00,52.90,49.33,100.00,47.00,75.00,53.66,,,,,,,,,
1029.00,Education,Schools,East Siang,Oyan,Sille Village,27.91,95.30,35.00,11.11,77.23,23.11,45.00,7.50,0.00,0.00,18.00,14.29,42.86,34.55,0.00,60.00,28.00,28.63,100.00,62.33,100.00,42.51,,,,,,,,,
1164.00,Education,Schools,Lower Subansiri,Yachuli,Yoglo,27.51,93.70,38.00,85.00,70.98,4.80,0.00,23.50,0.00,0.00,6.00,14.29,42.86,24.55,0.00,0.00,6.20,14.83,0.00,47.00,75.00,41.94,,,,,,,,,
1169.00,Education,Schools,East Siang,Oyan,Sille Village,27.90,95.31,35.00,55.00,80.36,19.20,45.00,7.50,0.00,0.00,18.00,14.29,0.00,34.55,0.00,93.60,9.80,13.73,0.00,61.33,75.00,44.14,,,,,,,,,
1171.00,Education,Schools,Tirap,Khonsa,Kaimoi,27.04,95.50,38.00,80.00,67.86,9.60,45.00,0.00,50.00,0.00,18.00,14.29,14.29,34.55,0.00,60.00,27.40,15.08,0.00,47.00,75.00,45.43,,,,,,,,,
1189.00,Education,Schools,East Siang,Oyan,Sille Village,27.90,95.30,52.50,55.00,70.98,44.53,45.00,7.50,0.00,59.09,18.00,14.29,14.29,7.27,0.00,36.80,13.50,25.83,0.00,47.00,75.00,44.15,,,,,,,,,
1194.00,Education,Schools,East Siang,Pasighat,Balek,28.06,95.29,37.00,85.00,78.79,47.11,0.00,7.50,100.00,0.00,30.00,14.29,0.00,24.55,0.00,84.00,30.50,31.73,0.00,47.00,75.00,47.84,,,,,,,,,
1195.00,Education,Schools,East Siang,Oyan,Oyan Village,27.88,95.31,60.00,55.00,74.11,46.58,45.00,26.25,0.00,68.18,24.00,14.29,0.00,10.00,0.00,30.40,33.50,26.33,0.00,59.00,100.00,51.83,,,,,,,,,
1246.00,Education,Schools,Changlang,Changlang,Changlang (CT),27.14,95.74,17.00,85.00,67.86,11.82,45.00,73.75,50.00,0.00,24.00,14.29,42.86,34.55,0.00,90.40,9.20,20.58,100.00,57.00,75.00,47.70,,,,,,,,,
1253.00,Education,Schools,East Siang,Mebo,Mebo,28.17,95.40,29.00,55.00,50.89,14.40,45.00,59.88,0.00,0.00,6.00,14.29,42.86,34.55,0.00,87.20,8.00,15.98,100.00,72.33,75.00,48.01,,,,,,,,,
1255.00,Education,Schools,East Siang,Mebo,Mebo,28.17,95.41,33.00,85.00,47.77,28.62,45.00,63.62,50.00,37.88,36.00,14.29,42.86,34.55,0.00,96.80,12.30,19.88,100.00,72.33,75.00,56.33,,,,,,,,,
1256.00,Education,Schools,West Kameng,Singchung,Tenga Valley,27.20,92.48,94.67,100.00,84.52,62.22,0.00,75.62,50.00,25.76,48.00,14.29,71.43,20.00,100.00,33.60,69.40,62.73,100.00,48.00,75.00,67.86,,,,,,,,,
